StoreCode,StoreName,Region,ASM
CHOA3,454 Cộng Hòa,HCM,Dũng
CMT8,Cách Mạng Tháng 8,HCM,Dũng
LBBICH,Lũy Bán Bích,HCM,Dũng
TCHINH,Trường Chinh,HCM,Dũng
HAUGIANG,Hậu Giang - Q6,HCM,Hương
KINHDV,Kinh Dương Vương,HCM,Hương
CREMALL,Crescent Mall Q7,HCM,Khôi
DBTRAC,Dương Bá Trạc,HCM,Khôi
KHANHHOI,Khánh Hội,HCM,Khôi
LOTTEQ7,Lotte Mart Q7,HCM,Khôi
NTT,Nguyễn Thị Thập,HCM,Khôi
PMHNDC,Phú Mỹ Hưng 1 - Nguyễn Đức Cảnh,HCM,Khôi
PMHNLB,Phú Mỹ Hưng 2 - Nguyễn Lương Bằng,HCM,Khôi
PMHNVL,Phú Mỹ Hưng 3 - Nguyễn Văn Linh,HCM,Khôi
126_3T2,126 Đường 3T2,HCM,Linh
185_3T2,185 Đường 3T2,HCM,Linh
901QT,901 Quang Trung,HCM,Linh
AEONTP,AEON Tân Phú,HCM,Linh
CAOTH,Cao Thắng,HCM,Linh
GOVAP,Gò Vấp,HCM,Linh
HBT,Hai Bà Trưng,HCM,Linh
LETRONGTAN,Lê Trọng Tấn,HCM,Linh
LOTTEGV,Lotte Mart Gò Vấp,HCM,Linh
LQDINH,Nguyên Hồng,HCM,Linh
LVS,Lê Văn Sỹ,HCM,Linh
NDC,Nguyễn Đình Chiểu,HCM,Linh
NGUYENOANH,Nguyễn Oanh,HCM,Linh
NTMK,Nguyễn Thị Minh Khai,HCM,Linh
NVTROI,Nguyễn Văn Trỗi,HCM,Linh
PDP,Phan Đình Phùng,HCM,Linh
SO1,Số 1,HCM,Linh
HVPLAZA,Hùng Vương Plaza,HCM,Lâm
SENSECITY,Sense City,HCM,Lâm
VANHANH,Vạn Hạnh Mall,HCM,Lâm
VINCOMLVV,Vincom Lê Văn Việt,HCM,Lâm
VINCOMQ2,Vincom Thảo Điền,HCM,Lâm
VINCOMTD,Vincom Grand Park,HCM,Lâm
AEONBT,AEON Bình Tân,HCM,Tiên
AUCO,Âu Cơ,HCM,Tiên
CHOA,Cộng Hòa (Số 8),HCM,Tiên
CUCHI,Củ Chi,HCM,Tiên
DIAMOND,Diamond Plaza,HCM,Tiên
LVKHUONG,Lê Văn Khương - Q12,HCM,Tiên
LYTT,Lý Tự Trọng,HCM,Tiên
NGA6,03 Nguyễn Trãi,HCM,Tiên
NGANHTHU,Nguyễn Ảnh Thủ,HCM,Tiên
NGHUE,Nguyễn Huệ,HCM,Tiên
NTQ1,74 Nguyễn Trãi,HCM,Tiên
OIKHIEM,Ông Ích Khiêm,HCM,Tiên
PDL,Phan Đăng Lưu,HCM,Tiên
PDL2,Phan Đăng Lưu 2,HCM,Tiên
PTER,Pasteur,HCM,Tiên
TAKA,Takashimaya,HCM,Tiên
TCHINH2,Trường Chinh 2 - Q12,HCM,Tiên
VINCOM,Vincom Q.1,HCM,Tiên
THUDUC,Thủ Đức,HCM,Tín
THUDUC2,Thủ Đức 2,HCM,Tín
BAOLOC,Bảo Lộc,Miền Trung- Tây Nguyên,Dũng
DAKLAK,Daklak,Miền Trung- Tây Nguyên,Dũng
DAKLAK2,Daklak - Nguyễn Tất Thành,Miền Trung- Tây Nguyên,Dũng
DAKLAK5,Buôn Hồ,Miền Trung- Tây Nguyên,Dũng
DAKNONG,ĐẮK NÔNG (Tôn Đức Thắng),Miền Trung- Tây Nguyên,Dũng
DALAT,Đà Lạt,Miền Trung- Tây Nguyên,Dũng
